country_iso3,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source
NLD,2018,48.0,10.0,38.0,34.46739130434783,OpenChargeMap + AFDC
NLD,2019,96.0,49.0,45.0,78.8978021978022,OpenChargeMap + AFDC
NLD,2020,46.0,15.0,31.0,42.36086956521739,OpenChargeMap + AFDC
NLD,2021,70.0,14.0,44.0,73.75862068965517,OpenChargeMap + AFDC
NLD,2022,49.0,19.0,27.0,83.8695652173913,OpenChargeMap + AFDC
NLD,2023,30.0,18.0,11.0,95.6896551724138,OpenChargeMap + AFDC
NLD,2024,51.0,27.0,23.0,111.68,OpenChargeMap + AFDC
NLD,2025,161.0,95.0,63.0,87.87139240506329,OpenChargeMap + AFDC
NLD,2026,12.0,6.0,5.0,56.36363636363637,OpenChargeMap + AFDC
NOR,2012,134.0,2.0,132.0,6.091729323308271,OpenChargeMap + AFDC
NOR,2013,7.0,6.0,0.0,151.66666666666666,OpenChargeMap + AFDC
NOR,2014,293.0,37.0,255.0,17.34742268041237,OpenChargeMap + AFDC
NOR,2015,965.0,79.0,883.0,12.744282744282744,OpenChargeMap + AFDC
NOR,2016,195.0,51.0,143.0,30.28315789473684,OpenChargeMap + AFDC
NOR,2017,172.0,34.0,137.0,31.269005847953217,OpenChargeMap + AFDC
NOR,2018,101.0,12.0,89.0,30.93069306930693,OpenChargeMap + AFDC
NOR,2019,120.0,16.0,103.0,38.666386554621845,OpenChargeMap + AFDC
NOR,2020,526.0,216.0,310.0,46.58726235741445,OpenChargeMap + AFDC
NOR,2021,124.0,71.0,53.0,91.23306451612903,OpenChargeMap + AFDC
NOR,2022,17.0,12.0,5.0,201.64705882352945,OpenChargeMap + AFDC
NOR,2023,2017.0,787.0,1144.0,46.50067567567568,OpenChargeMap + AFDC
NOR,2024,120.0,59.0,40.0,106.06262626262628,OpenChargeMap + AFDC
NOR,2025,3.0,1.0,2.0,31.566666666666663,OpenChargeMap + AFDC
POL,2012,1.0,0.0,0.0,,OpenChargeMap + AFDC
POL,2015,34.0,6.0,26.0,24.009375,OpenChargeMap + AFDC
POL,2016,57.0,13.0,42.0,26.953703703703702,OpenChargeMap + AFDC
POL,2017,35.0,6.0,27.0,22.91818181818182,OpenChargeMap + AFDC
POL,2018,39.0,8.0,31.0,27.56410256410257,OpenChargeMap + AFDC
POL,2019,138.0,100.0,38.0,41.07971014492754,OpenChargeMap + AFDC
POL,2020,62.0,46.0,15.0,56.27704918032787,OpenChargeMap + AFDC
POL,2021,43.0,17.0,26.0,30.05581395348837,OpenChargeMap + AFDC
POL,2022,21.0,18.0,3.0,151.8095238095238,OpenChargeMap + AFDC
POL,2023,5.0,3.0,2.0,120.0,OpenChargeMap + AFDC
POL,2024,19.0,17.0,2.0,232.10526315789477,OpenChargeMap + AFDC
POL,2025,27.0,4.0,23.0,39.67407407407408,OpenChargeMap + AFDC
POL,2026,4.0,1.0,3.0,205.5,OpenChargeMap + AFDC
PRT,2011,96.0,5.0,91.0,10.15625,OpenChargeMap + AFDC
PRT,2012,81.0,1.0,80.0,7.380246913580249,OpenChargeMap + AFDC
PRT,2013,2.0,0.0,2.0,22.0,OpenChargeMap + AFDC
PRT,2014,134.0,3.0,131.0,6.579104477611939,OpenChargeMap + AFDC
PRT,2015,16.0,1.0,15.0,10.0375,OpenChargeMap + AFDC
PRT,2016,13.0,6.0,7.0,40.01538461538461,OpenChargeMap + AFDC
PRT,2017,76.0,26.0,50.0,28.959210526315783,OpenChargeMap + AFDC
PRT,2018,102.0,18.0,84.0,27.350980392156863,OpenChargeMap + AFDC
PRT,2019,170.0,31.0,139.0,26.58,OpenChargeMap + AFDC
PRT,2020,507.0,146.0,361.0,28.82224852071006,OpenChargeMap + AFDC
PRT,2021,536.0,274.0,262.0,48.98358208955224,OpenChargeMap + AFDC
PRT,2022,400.0,260.0,140.0,48.905,OpenChargeMap + AFDC
PRT,2023,1148.0,627.0,521.0,49.03554006968641,OpenChargeMap + AFDC
PRT,2024,18.0,14.0,4.0,150.7277777777778,OpenChargeMap + AFDC
PRT,2025,415.0,398.0,17.0,125.80072289156628,OpenChargeMap + AFDC
PRT,2026,5.0,0.0,5.0,18.58,OpenChargeMap + AFDC
SWE,2014,52.0,8.0,44.0,33.432307692307695,OpenChargeMap + AFDC
SWE,2015,377.0,28.0,348.0,26.851946666666667,OpenChargeMap + AFDC
SWE,2016,183.0,20.0,163.0,31.47868852459016,OpenChargeMap + AFDC
SWE,2017,356.0,25.0,330.0,23.48760563380282,OpenChargeMap + AFDC
SWE,2018,206.0,10.0,196.0,24.1,OpenChargeMap + AFDC
SWE,2019,262.0,16.0,244.0,27.135658914728683,OpenChargeMap + AFDC
SWE,2020,566.0,164.0,401.0,36.54672566371681,OpenChargeMap + AFDC
SWE,2021,156.0,42.0,112.0,45.53831168831169,OpenChargeMap + AFDC
SWE,2022,178.0,69.0,108.0,120.28926553672316,OpenChargeMap + AFDC
SWE,2023,2190.0,484.0,1674.0,44.25215577190542,OpenChargeMap + AFDC
SWE,2024,387.0,60.0,310.0,85.18783783783783,OpenChargeMap + AFDC
SWE,2025,48.0,6.0,42.0,287.125,OpenChargeMap + AFDC
SWE,2026,2.0,1.0,1.0,250.0,OpenChargeMap + AFDC
USA,2025,4772.0,1472.0,3283.0,34.103331230283914,OpenChargeMap + AFDC
USA,2026,225.0,172.0,36.0,294.8769230769231,OpenChargeMap + AFDC
